AREA,,BEFORE COVID,AFTER COVID,,
ANG MO KIO,,300588,412713,,317760.8077
BEDOK,,307413,385568,,433159.6154
BISHAN,,320000,480000,,
BUKIT BATOK,,267377,408018,,
BUKIT MERAH,,363421,517145,,
BUKIT PANJANG,,307000,387924,,
BUKIT TIMAH,,380000,450000,,
CENTRAL AREA,,404500,475250,,
CHOA CHU KANG,,278750,417750,,
CLEMENTI,,334520,445055,,
GEYLANG,,317250,400712,,
HOUGANG,,291285,408139,,
JURONG EAST,,272714,438857,,
JURONG WEST,,252461,366952,,
KALLANG/WHAMPOA,,372758,421697,,
MARINE PARADE,,380333,420685,,
PASIR RIS,,295000,498250,,
PUNGGOL,,352200,488782,,
QUEENSTOWN,,361522,449493,,
SEMBAWANG,,283000,457785,,
SENGKANG,,336142,468338,,
SERANGOON,,327148,417077,,
TAMPINES,,335615,453166,,
TOA PAYOH,,284681,414799,,
WOODLANDS,,265473,386995,,
YISHUN,,270630,391000,,
CHANGI,,unavailable,unavailable,,
WESTERN ISLANDS,,unavailable,unavailable,,
NOVENA,,unavailable,unavailable,,
MANDAI,,unavailable,unavailable,,
SUNGEI KADUT,,unavailable,unavailable,,
LIM CHU KANG,,unavailable,unavailable,,
CENTRAL WATER CATCHMENT,,unavailable,unavailable,,
TUAS,,unavailable,unavailable,,
JURONG ISLAND,,unavailable,unavailable,,
BOON LAY,,unavailable,unavailable,,
PIONEER,,unavailable,unavailable,,
TENGAH,,unavailable,unavailable,,
PULAU UBIN,,unavailable,unavailable,,
SIMPANG,,unavailable,unavailable,,
SELETAR,,unavailable,unavailable,,
NORTH-EASTERN ISLANDS,,unavailable,unavailable,,
CHANGI BAY,,unavailable,unavailable,,
SOUTHERN ISLANDS,,unavailable,unavailable,,
KALLANG,,unavailable,unavailable,,
CENTRAL AREA,,unavailable,unavailable,,
TANGLIN,,unavailable,unavailable,,
WESTERN WATER CATCHMENT,,unavailable,unavailable,,
PAYA LEBAR,,unavailable,unavailable,,
MARINA EAST,,unavailable,unavailable,,
MARINA SOUTH,,unavailable,unavailable,,
STRAITS VIEW,,unavailable,unavailable,,
DOWNTOWN CORE,,unavailable,unavailable,,
OUTRAM,,unavailable,unavailable,,
SINGAPORE RIVER,,unavailable,unavailable,,
NEWTON,,unavailable,unavailable,,
ORCHARD,,unavailable,unavailable,,
RIVER VALLEY,,unavailable,unavailable,,
MUSEUM,,unavailable,unavailable,,
ROCHOR,,unavailable,unavailable,,
